date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:27:07,3248,San isidro,Lo dije temprano,3,16,4.666666666666667,0,0
2018-09-21 22:27:08,190,Lima,@Pulmon_de_Susan @SadithLopezRios Ojalá y funcione....le quiero dar el beneficio de la duda...ojalá y no muera ante… https://t.co/XmovnmLEds,17,140,7.294117647058823,0,0
2018-09-21 22:27:11,933,Lima,Nostalgia 😊,2,11,5.0,0,0
2018-09-21 22:27:14,469,Miraflores,"@pormatute Ayacucho en Huanta sino me equivoco, torneo de verano de este año.",13,77,5.0,0,0
2018-09-21 22:27:21,126,Miraflores,Con goles uruguayos ganó el equipo en una plaza difícil. Buen triunfo de @ClubALoficial,14,87,5.285714285714286,0,0
2018-09-21 22:27:39,166,San Juan de Miraflores,@ClubALoficial @UComercio Qué clase de Lemos es este? XD,9,56,5.333333333333333,0,0
2018-09-21 22:27:51,3248,San isidro,@jmwebbv Y con 3 goles ?,6,24,3.1666666666666665,0,1
2018-09-21 22:28:12,1363,Magdalena Vieja,"Ahora falta que @willaxtv despache al amigo de los cuellos blancos del callao , amigo ( socio ) de Camayo , Izamoto… https://t.co/RVDNFVGKXb",23,140,5.130434782608695,0,0
2018-09-21 22:28:23,3248,San isidro,@SgtPepper_s Y metiendo 3 goles ???,6,35,5.0,0,1
2018-09-21 22:28:23,2061,Santiago de Surco,Está medio molesta pero yo la quiero,7,36,4.285714285714286,0,0
2018-09-21 22:28:44,749,Miraflores,@esquinabaja A esa edad algunas se ponen así se agarran con los niños todo les apesta sino conoceré algunas vecinas de x mi casa parecidas..,25,140,4.64,0,0
2018-09-21 22:28:47,200,San Miguel,@andrea_arroyov Jajajajajajaja,2,30,14.5,0,0
2018-09-21 22:29:04,232,Magdalena del Mar,"@ClaraEOspinaG @BankadaFP Esta colombiana como que ya cansa, eh. Un gran favor haría en largarse de una vez del Perú.",20,117,4.9,0,0
2018-09-21 22:29:06,2061,Santiago de Surco,"De verdad que es hermosa, coño",6,30,4.166666666666667,0,0
2018-09-21 22:29:12,469,Miraflores,@pormatute De visita en provincia? Ahí si me agarraste xD habría que ver el internet.,15,85,4.733333333333333,0,0
2018-09-21 22:29:13,816,Lima,#cdprinting #digitalprinting #impresiondecd #impresiondigital en RemiseroStudio - Soluciones Web Gráficas https://t.co/FFTVr6L4KO,11,129,10.818181818181818,4,0
2018-09-21 22:29:19,1129,Peru,"【INFO || 2109-2018】Descripción de cada bálsamo labial de #SEVENTEEN #세븐틴 (@pledis_17)

💎 La pre-orden inicia el día… https://t.co/hLDEZ3bxPb",17,140,6.777777777777778,2,0
2018-09-21 22:29:33,0,Peru,@alice200023 Porque no me gustaria rozar mi glande alli; que te parece? uoohh! o de repente alguna otra amiguita po… https://t.co/LTcD1n4YMK,21,140,5.714285714285714,0,0
2018-09-21 22:29:34,5984,Jesús Maria,"¡Hasta el 22 de Setiembre, presentamos Imagina - VII Festival de Animación en el Espacio Fundación Telefónica Lima!… https://t.co/nnXZbBRYUj",19,140,6.421052631578948,0,1
2018-09-21 22:29:47,4,Los Olivos,"@InFancafeBTS Gracias x la información,ahora me siento más tranquila",9,68,6.666666666666667,0,0
2018-09-21 22:30:01,480,Surquillo,"17:30:01,WS2080
Wind:225°at0.0km/h Gust:8.6km/h,
T:17.4°C/DP:15.0°C,
HeatIndex:17.4°C,
1012.3:Hpa,
PP:0.0mm,
Hum:86%
#Weathercloud",2,130,13.555555555555555,1,0
2018-09-21 22:30:13,267,Jesús Maria,@maximend92 De alguna manera el gol hecho a Cristal hizo que levante un poco más su juego.,17,90,4.352941176470588,0,0
2018-09-21 22:30:28,1116,Breña,¡ ARRIBA ALIANZA CARAJO !,5,25,4.2,0,0
2018-09-21 22:31:12,105,Ate,"Oye, en verdad crees que ese hombre vale tanto la pena, como para que te la pelees por él. Si sabes que es capaz de… https://t.co/go8ToT7Cgu",26,140,4.423076923076923,0,0
2018-09-21 22:31:13,2061,Santiago de Surco,"Encontré unos venezolanos que venden Tequeños y empanadas cerca de mi casa, ya tengo donde desayunar",16,100,5.3125,0,0
2018-09-21 22:31:24,657,Lima,@mdetomas Gracias Miguelito!,3,28,8.666666666666666,0,0
